Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km,total_air_assets,total_land_assets,total_naval_assets,total_assets,assets_per_capita,budget_to_gdp_ratio,power_score,computed_rank,power_index_rank_gap,region,alliance
United States,341963408,1328000,799500,0,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,11,9,70,81,0,26,0,8,895000000000,24662000000000,773426000000,15873,666,293564,6586610,18886,399127,440,418453,1223.6777099846893,0.03629064958235342,179000607626.5,1.0,0.0,North America,NATO
Russia,140820810,1320000,2000000,250000,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1,0,63,10,12,83,123,47,126000000000,5816000000000,597217000000,904,67,85494,1283387,5943,153955,419,160317,1138.4467963222198,0.021664374140302613,25200476158.5,3.0,2.0,Europe/Asia,Non-NATO
China,1415043270,2035000,510000,625000,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,3,4,61,50,47,72,150,36,266850000000,31227000000000,3450000000000,531,66,150000,5200000,4222,158057,754,163033,115.21414465297588,0.008545489480257469,53370692016.5,2.0,1.0,Asia,Non-NATO
India,1409128296,1455550,1155000,2527000,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,2,0,18,13,14,18,135,0,75000000000,13104000000000,627793000000,311,56,65554,6371847,3128,157134,293,160555,113.93923495522512,0.005723443223443223,15000516942.5,4.0,3.0,Asia,Non-NATO
South Korea,52081799,600000,3100000,120000,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,0,2,22,13,17,5,35,14,46300000000,2615000000000,420930000000,89,15,3979,100428,2399,69212,227,71838,1379.3302339652284,0.017705544933078392,9260215919.0,14.0,13.0,Asia,Non-NATO
United Kingdom,68459055,184860,924000,0,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,2,0,9,6,8,0,26,7,71500540000,3700000000000,177915000000,1043,185,16390,394428,897,38653,109,39659,579.3097786698926,0.01932447027027027,14300183287.5,6.0,5.0,Europe,NATO
France,68374591,200000,26000,150000,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,1,3,9,11,11,0,20,17,55000000000,3764000000000,240792000000,689,66,27860,1053215,1424,111252,129,112805,1649.808771799454,0.01461211477151966,11000116402.5,9.0,8.0,Europe,NATO
Japan,123201945,247150,56000,25000,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,0,4,24,42,6,0,6,22,57000000000,5761000000000,1295000000000,279,163,27311,1218772,2039,33168,159,35366,287.05715644343115,0.0098941156049297,11400091828.0,7.0,6.0,Asia,Non-NATO
Turkiye,84119531,355200,378700,150000,1083,201,0,84,287,28,7,508,111,2238,61173,1038,1707,296,182,0,1,13,0,17,9,41,11,47000000000,2936000000000,140858000000,115,54,11497,67333,1591,66452,182,68225,811.0482689210429,0.01600817438692098,9400140672.5,13.0,12.0,Other,Non-NATO
Italy,60964931,165500,18500,105000,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,2,0,8,3,10,0,19,10,30890000000,3097000000000,247396000000,636,123,18475,487700,1121,73873,196,75190,1233.3319954056865,0.00997416855020988,6178087245.0,16.0,15.0,Other,Non-NATO
Brazil,220051512,360000,340000,200000,513,43,38,109,133,25,0,191,0,294,22464,109,412,38,64,0,1,4,0,6,2,23,3,26157300000,4016000000000,355021000000,4919,45,29850,2000000,704,23317,64,24085,109.45164512207486,0.006513271912350598,5231580042.5,19.0,18.0,Other,Non-NATO
Pakistan,252363571,654000,550000,500000,1399,328,90,64,565,27,4,373,57,2627,17516,662,2629,600,121,0,0,8,0,9,9,69,3,7640000000,1347000000000,13730000000,116,3,11881,264175,1772,24034,121,25927,102.73669807913757,0.005671863400148478,1528209163.5,38.0,37.0,Other,Non-NATO
Indonesia,281562465,400000,400000,250000,459,41,34,70,112,17,1,214,15,331,20440,153,396,63,331,0,0,4,0,7,25,211,12,10600000000,3906000000000,146359000000,513,123,8159,496607,673,21383,331,22387,79.50988779701159,0.002713773681515617,2120131193.5,29.0,28.0,Other,Non-NATO
Germany,84119100,181600,34000,0,584,129,63,50,35,26,3,309,54,296,83260,134,0,33,61,0,0,6,0,11,5,0,12,50000000000,5230000000000,322700000000,838,35,39379,830000,893,83723,61,84677,1006.6322630651065,0.009560229445506692,10000096818.5,11.0,10.0,Europe,NATO
Israel,9402617,170000,465000,35000,611,240,38,13,159,19,14,147,48,1300,35985,352,171,183,62,0,0,5,0,0,7,46,0,30500000000,471030000000,204661000000,37,5,1497,20391,758,37991,62,38811,4127.680623383894,0.06475171432817442,6100070405.5,17.0,16.0,Other,Non-NATO
Iran,88386937,610000,350000,220000,551,188,21,87,103,10,6,128,13,1713,65825,392,2070,1517,107,0,0,25,0,7,3,21,1,15450000000,1440000000000,120600000000,173,18,8484,223485,679,71517,107,72303,818.0281210559428,0.010729166666666666,3090219151.5,25.0,24.0,Other,Non-NATO
Spain,47280433,133282,15150,78470,461,137,12,51,140,8,0,153,17,317,17626,95,287,0,152,1,0,2,0,11,0,22,6,23397000000,2242000000000,103089000000,363,52,15489,683175,614,18325,152,19091,403.7822580854959,0.010435771632471008,4679449530.1,22.0,21.0,Other,Non-NATO
